Billable Flag,Date,Department,Employee,Expense Subtype,Expense Type,Expense Amount
N,9/21/20 0:00,Engineering,Stesha Gianotti,Group Meal - External,Meals,10.01
N,3/12/20 0:00,Support,Farra Duckett,Hotel,Travel,10.02
N,8/31/20 0:00,Support,Jacenta Conachy,Lunch,Meals,10.02
N,10/2/20 0:00,Support,Jacenta Conachy,Lunch,Meals,10.02
N,10/29/20 0:00,Sales,Friederike Agdahl,Hotel,Travel,10.02
Y,2/22/20 0:00,Support,Grannie Eales,Hotel,Travel,10.02
Y,3/8/20 0:00,Support,Grannie Eales,Hotel,Travel,10.02
Y,4/5/20 0:00,Engineering,Grannie Eales,Hotel,Travel,10.02
Y,4/6/20 0:00,Support,Rafaela Beels,Lunch,Meals,10.02
Y,4/6/20 0:00,Support,Rafaela Beels,Lunch,Meals,10.02
Y,4/24/20 0:00,Support,Russell Witchalls,Lunch,Meals,10.02
N,9/21/20 0:00,Engineering,Stesha Gianotti,Breakfast,Meals,10.03
N,10/31/20 0:00,Support,Lonnard Luipold,Dinner,Meals,10.03
N,3/16/20 0:00,Sales,Kevyn Caswill,Hotel,Travel,10.04
N,8/23/20 0:00,Sales,Lane Moncrieffe,Office Supplies,Operations,10.04
N,12/17/20 0:00,Sales,Marline Dorrell,Lunch,Meals,10.04
Y,2/12/20 0:00,Support,Rafaela Beels,Breakfast,Meals,10.04
Y,2/12/20 0:00,Support,Rafaela Beels,Breakfast,Meals,10.04
Y,3/7/20 0:00,Support,Marshal Hicklingbottom,Dinner,Meals,10.04
Y,3/7/20 0:00,Support,Marshal Hicklingbottom,Dinner,Meals,10.04
N,1/29/20 0:00,Sales,Gabey Brake,Internet,Operations,10.05
N,2/12/20 0:00,Engineering,Stesha Gianotti,Internet,Operations,10.05
N,3/1/20 0:00,Sales,Josephine Andreassen,Internet,Operations,10.05
N,3/3/20 0:00,Sales,Goldi Newcomen,Lunch,Meals,10.05
N,3/4/20 0:00,Sales,Janka Sellen,Internet,Operations,10.05
N,3/13/20 0:00,Sales,Courtenay Osborn,Mileage,Travel,10.05
N,3/18/20 0:00,Sales,Symon Foxall,Internet,Operations,10.05
N,3/30/20 0:00,Sales,Josephine Andreassen,Internet,Operations,10.05
N,3/31/20 0:00,Sales,Jada Fain,Mileage,Travel,10.05
N,4/13/20 0:00,Support,Lindsey Schruurs,Internet,Operations,10.05
N,4/14/20 0:00,Support,Farra Duckett,Internet,Operations,10.05
N,4/21/20 0:00,Engineering,Cortney Gosneye,Internet,Operations,10.05
N,4/27/20 0:00,Sales,Goldi Newcomen,Internet,Operations,10.05
N,5/4/20 0:00,Sales,Friederike Agdahl,Other,Miscellaneous,10.05
N,5/10/20 0:00,Support,Rowen Elam,Lunch,Meals,10.05
N,5/19/20 0:00,Support,Inesita Scollick,Hotel,Travel,10.05
N,5/19/20 0:00,Support,Inesita Scollick,Hotel,Travel,10.05
N,5/21/20 0:00,Sales,Kevyn Caswill,Office Supplies,Operations,10.05
N,5/28/20 0:00,Sales,Stace Grumbridge,Internet,Operations,10.05
N,6/1/20 0:00,Support,Willis Borthram,Internet,Operations,10.05
N,6/3/20 0:00,Sales,Neville Reddoch,Mileage,Travel,10.05
N,6/4/20 0:00,Sales,Johnny Deluca,Internet,Operations,10.05
N,6/9/20 0:00,Engineering,Claribel Dunseath,Internet,Operations,10.05
N,6/23/20 0:00,Sales,Ginevra Filgate,Hotel,Travel,10.05
N,6/29/20 0:00,Sales,Cornie Crowter,Internet,Operations,10.05
N,6/30/20 0:00,Sales,Stearn Bidwell,Internet,Operations,10.05
N,7/9/20 0:00,Sales,Tani Lesser,Mileage,Travel,10.05
N,7/21/20 0:00,Sales,Lauryn Eldershaw,Hotel,Travel,10.05
N,7/24/20 0:00,Engineering,Donni Machel,Internet,Operations,10.05
N,8/1/20 0:00,Support,Rowen Elam,Gasoline,Travel,10.05
N,8/4/20 0:00,Support,Inesita Scollick,Internet,Operations,10.05
N,8/4/20 0:00,Support,Inesita Scollick,Internet,Operations,10.05
N,8/10/20 0:00,Support,Marinna Manford,Internet,Operations,10.05
N,8/21/20 0:00,Support,Cherey Bolam,Internet,Operations,10.05
N,8/21/20 0:00,Support,Cherey Bolam,Internet,Operations,10.05
N,9/2/20 0:00,Sales,Horatio Kitcherside,Lunch,Meals,10.05
N,9/2/20 0:00,Support,Willis Borthram,Internet,Operations,10.05
N,9/2/20 0:00,Support,Rowen Elam,Hotel,Travel,10.05
N,9/8/20 0:00,Accounting,Nadia Nicklen,Breakfast,Meals,10.05
N,9/14/20 0:00,Engineering,Sayre Zapater,Internet,Operations,10.05
N,9/19/20 0:00,Support,Inesita Scollick,Internet,Operations,10.05
N,9/19/20 0:00,Support,Inesita Scollick,Internet,Operations,10.05
N,9/19/20 0:00,Support,Magdalene Schoenleiter,Internet,Operations,10.05
N,9/23/20 0:00,Sales,Dolorita Housego,Internet,Operations,10.05
N,9/30/20 0:00,Support,Issy Simonato,Hotel,Travel,10.05
N,10/10/20 0:00,Sales,Gabey Brake,Hotel,Travel,10.05
N,10/12/20 0:00,Engineering,Olenka Rosas,Internet,Operations,10.05
N,10/21/20 0:00,Support,Marinna Manford,Internet,Operations,10.05
N,10/22/20 0:00,Engineering,Donni Machel,Internet,Operations,10.05
N,10/22/20 0:00,Sales,Joli Legon,Internet,Operations,10.05
N,10/22/20 0:00,Support,Rowen Elam,Hotel,Travel,10.05
N,10/22/20 0:00,Support,Rowen Elam,Lunch,Meals,10.05
N,10/23/20 0:00,Support,Marinna Manford,Internet,Operations,10.05
N,10/25/20 0:00,Engineering,Cortney Gosneye,Internet,Operations,10.05
N,10/26/20 0:00,Engineering,Jessee Lockney,Internet,Operations,10.05
N,11/2/20 0:00,Engineering,Stesha Gianotti,Internet,Operations,10.05
N,11/3/20 0:00,Sales,Nerta Potkin,Internet,Operations,10.05
N,11/4/20 0:00,Engineering,Olenka Rosas,Internet,Operations,10.05
N,11/5/20 0:00,Engineering,Cortney Gosneye,Internet,Operations,10.05
N,11/9/20 0:00,Support,Thain Beacroft,Internet,Operations,10.05
N,11/10/20 0:00,Sales,Willis Borthram,Taxi,Travel,10.05
N,11/10/20 0:00,Engineering,Claribel Dunseath,Internet,Operations,10.05
N,11/17/20 0:00,Sales,Josephine Andreassen,Internet,Operations,10.05
N,11/28/20 0:00,Sales,Harcourt Barlass,Internet,Operations,10.05
N,11/29/20 0:00,C-level,Freemon Shortin,Internet,Operations,10.05
N,11/30/20 0:00,Sales,Symon Foxall,Internet,Operations,10.05
N,12/1/20 0:00,Support,Inesita Scollick,Internet,Operations,10.05
N,12/5/20 0:00,Sales,Dolorita Housego,Internet,Operations,10.05
Y,2/17/20 0:00,Support,Sherlocke Lantuff,Dinner,Meals,10.05
Y,5/3/20 0:00,Support,Sherlocke Lantuff,Internet,Operations,10.05
Y,5/31/20 0:00,Support,Myrtia Victory,Internet,Operations,10.05
Y,8/21/20 0:00,Support,Constance Griffitts,Mileage,Travel,10.05
Y,10/27/20 0:00,Support,Cyril Pask,Internet,Operations,10.05
N,7/21/20 0:00,Sales,Lauryn Eldershaw,Lunch,Meals,10.06
N,8/18/20 0:00,Support,Maryjo Andreaccio,Hotel,Travel,10.07
N,9/15/20 0:00,Support,Gerek Axelby,Other,Miscellaneous,10.07
N,9/19/20 0:00,Sales,Gregorio Carmel,Lunch,Meals,10.07
Y,3/28/20 0:00,Support,Marshal Hicklingbottom,Hotel,Travel,10.07
Y,3/28/20 0:00,Support,Marshal Hicklingbottom,Hotel,Travel,10.07
Y,11/1/20 0:00,Support,Malissia Sweetzer,Breakfast,Meals,10.07
N,4/3/20 0:00,Support,Kimberlyn Dubs,Lunch,Meals,10.08
N,6/18/20 0:00,Engineering,Stesha Gianotti,Gasoline,Travel,10.08
N,8/28/20 0:00,Sales,Dolorita Housego,Dinner,Meals,10.08
N,9/21/20 0:00,Engineering,Stesha Gianotti,Other,Miscellaneous,10.08
Y,3/29/20 0:00,Support,Jacenta Conachy,Lunch,Meals,10.08
N,3/18/20 0:00,Sales,Koral Jursch,Internet,Operations,10.09
N,5/19/20 0:00,Support,Hedy Hodinton,Lunch,Meals,10.09
N,5/19/20 0:00,Support,Hedy Hodinton,Lunch,Meals,10.09
N,6/23/20 0:00,Support,Willis Borthram,Internet,Operations,10.09
N,7/23/20 0:00,Sales,Lauryn Eldershaw,Other,Miscellaneous,10.09
N,8/23/20 0:00,Sales,Lane Moncrieffe,Office Supplies,Operations,10.09
N,11/2/20 0:00,Sales,Marline Dorrell,Lunch,Meals,10.09
Y,3/30/20 0:00,Support,Sherlocke Lantuff,Hotel,Travel,10.09
N,1/2/20 0:00,Engineering,Malina Kaye,Lunch,Meals,10.1
N,1/2/20 0:00,Engineering,Malina Kaye,Parking,Travel,10.1
N,1/7/20 0:00,Support,Farra Duckett,Taxi,Travel,10.1
N,1/9/20 0:00,Support,Lindsey Schruurs,Parking,Travel,10.1
N,1/20/20 0:00,Engineering,Olenka Rosas,Taxi,Travel,10.1
N,1/22/20 0:00,Support,Gay Piecha,Taxi,Travel,10.1
N,1/22/20 0:00,Sales,Venus Culkin,Taxi,Travel,10.1
N,1/22/20 0:00,Engineering,Sayre Zapater,Dinner,Meals,10.1
N,1/22/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,1/26/20 0:00,Support,Graeme Cafferky,Airfare,Travel,10.1
N,1/29/20 0:00,Sales,Gabey Brake,Other,Miscellaneous,10.1
N,1/31/20 0:00,Sales,Harcourt Barlass,Parking,Travel,10.1
N,1/31/20 0:00,Sales,Helenka Lotte,Parking,Travel,10.1
N,2/3/20 0:00,Support,Myrtia Victory,Taxi,Travel,10.1
N,2/4/20 0:00,Support,Inesita Scollick,Dinner,Meals,10.1
N,2/4/20 0:00,Support,Inesita Scollick,Dinner,Meals,10.1
N,2/5/20 0:00,Sales,Doloritas Shee,Taxi,Travel,10.1
N,2/15/20 0:00,Support,Farra Duckett,Taxi,Travel,10.1
N,2/16/20 0:00,Support,Rowen Elam,Taxi,Travel,10.1
N,2/18/20 0:00,Support,Farra Duckett,Lunch,Meals,10.1
N,2/20/20 0:00,Sales,Rutherford Muccino,Taxi,Travel,10.1
N,2/22/20 0:00,Support,Lindsey Schruurs,Parking,Travel,10.1
N,2/27/20 0:00,Support,Lonnard Luipold,Parking,Travel,10.1
N,3/1/20 0:00,Support,Magdalene Schoenleiter,Taxi,Travel,10.1
N,3/6/20 0:00,Engineering,Claribel Dunseath,Dinner,Meals,10.1
N,3/6/20 0:00,Engineering,Claribel Dunseath,Parking,Travel,10.1
N,3/6/20 0:00,Support,Magdalene Schoenleiter,Parking,Travel,10.1
N,3/10/20 0:00,C-level,Conney Greetham,Taxi,Travel,10.1
N,3/12/20 0:00,Support,Farra Duckett,Dinner,Meals,10.1
N,3/15/20 0:00,Sales,Fionnula Lorant,Shipping,Operations,10.1
N,3/16/20 0:00,Support,Gay Piecha,Breakfast,Meals,10.1
N,3/16/20 0:00,Sales,Pollyanna Slesser,Parking,Travel,10.1
N,3/16/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,3/17/20 0:00,Sales,Koral Jursch,Parking,Travel,10.1
N,3/23/20 0:00,Support,Vanni Quernel,Lunch,Meals,10.1
N,3/25/20 0:00,Engineering,Stesha Gianotti,Taxi,Travel,10.1
N,3/28/20 0:00,Support,Farra Duckett,Dinner,Meals,10.1
N,3/30/20 0:00,Sales,Sherlocke Trevear,Taxi,Travel,10.1
N,3/31/20 0:00,Sales,Goldi Newcomen,Parking,Travel,10.1
N,4/1/20 0:00,Sales,Helenka Lotte,Parking,Travel,10.1
N,4/1/20 0:00,Sales,Tani Lesser,Hardware,Operations,10.1
N,4/3/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,4/6/20 0:00,Support,Pennie Hanvey,Parking,Travel,10.1
N,4/9/20 0:00,Support,Sadella Dalgardno,Other,Miscellaneous,10.1
N,4/9/20 0:00,Support,Sadella Dalgardno,Parking,Travel,10.1
N,4/17/20 0:00,Support,Ellery Aucock,Lunch,Meals,10.1
N,4/17/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,4/22/20 0:00,Sales,Pollyanna Slesser,Lunch,Meals,10.1
N,4/24/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,4/27/20 0:00,Sales,Josephine Andreassen,Breakfast,Meals,10.1
N,4/27/20 0:00,Sales,Goldi Newcomen,Parking,Travel,10.1
N,4/29/20 0:00,Sales,Oby Stookes,Parking,Travel,10.1
N,4/30/20 0:00,Support,Farra Duckett,Taxi,Travel,10.1
N,4/30/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,5/1/20 0:00,Sales,Helenka Lotte,Parking,Travel,10.1
N,5/4/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,5/5/20 0:00,Sales,Pollyanna Slesser,Breakfast,Meals,10.1
N,5/5/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,5/6/20 0:00,Support,Issy Simonato,Taxi,Travel,10.1
N,5/6/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,5/10/20 0:00,Support,Rowen Elam,Taxi,Travel,10.1
N,5/14/20 0:00,Support,Janel Hradsky,Breakfast,Meals,10.1
N,5/14/20 0:00,Sales,Courtenay Osborn,Parking,Travel,10.1
N,5/15/20 0:00,Support,Lonnard Luipold,Parking,Travel,10.1
N,5/15/20 0:00,Support,Lonnard Luipold,Taxi,Travel,10.1
N,5/18/20 0:00,Sales,Janka Sellen,Parking,Travel,10.1
N,5/18/20 0:00,Engineering,Cortney Gosneye,Taxi,Travel,10.1
N,5/19/20 0:00,Support,Inesita Scollick,Taxi,Travel,10.1
N,5/19/20 0:00,Support,Inesita Scollick,Taxi,Travel,10.1
N,5/19/20 0:00,Support,Gregoire Langmuir,Mobile,Operations,10.1
N,5/20/20 0:00,Sales,Pollyanna Slesser,Group Meal - External,Meals,10.1
N,5/21/20 0:00,C-level,Conney Greetham,Parking,Travel,10.1
N,5/29/20 0:00,Sales,Josephine Andreassen,Parking,Travel,10.1
